date,cases,deaths,hospitalcritical
25/12/2020,18700692,322003,7831
26/12/2020,18891286,323429,7809
27/12/2020,19044826,324826,7878
28/12/2020,19208953,326316,7948
29/12/2020,19408632,329605,7885
30/12/2020,19638128,333505,7930
31/12/2020,19864374,336802,8004
01/01/2021,20047280,339394,7990
02/01/2021,20327598,341800,7910
03/01/2021,20536055,343255,7939
04/01/2021,20715626,344802,7930
05/01/2021,20934701,348286,7976
06/01/2021,21184885,352188,7946
07/01/2021,21456928,356267,7900
08/01/2021,21752049,360047,7908
09/01/2021,22021417,363584,7791
10/01/2021,22250149,365652,7878
11/01/2021,22445404,367385,7786
12/01/2021,22663424,371449,7879
13/01/2021,22887915,375536,7902
14/01/2021,23113531,379451,7878
15/01/2021,23359985,383130,7772
16/01/2021,23578070,386839,7755
17/01/2021,23765288,388892,7797
18/01/2021,23916080,390287,7772
19/01/2021,24062706,392428,7688
20/01/2021,24251909,396837,7564
21/01/2021,24438184,400715,7370
22/01/2021,24629099,404695,7236
23/01/2021,24806217,408286,7110
24/01/2021,24950451,410230,6989
25/01/2021,25083905,411823,6857
26/01/2021,25230353,415557,6832
27/01/2021,25384338,419634,6806
28/01/2021,25541644,423645,6642
29/01/2021,25708755,427148,6483
30/01/2021,25857579,430130,6329
31/01/2021,25976946,432189,6291
01/02/2021,26097146,433751,6086
02/02/2021,26214762,437237,6047
03/02/2021,26331722,440922,5920
04/02/2021,26455629,446134,5732
05/02/2021,26586775,449677,5596
06/02/2021,26701332,452671,5475
07/02/2021,26797326,454146,5342
08/02/2021,26875063,455455,5260
09/02/2021,26968049,458250,5216
10/02/2021,27063243,461695,5121
11/02/2021,27165660,465568,4970
12/02/2021,27266690,470995,4849
13/02/2021,27357332,474462,4648
14/02/2021,27429496,475828,4542
15/02/2021,27484573,476906,4468
16/02/2021,27540885,478259,4415
17/02/2021,27607724,480607,4271
18/02/2021,27674548,483223,4180
19/02/2021,27749224,485700,4118
20/02/2021,27821578,487860,3932
21/02/2021,27880280,489147,3915
22/02/2021,27932810,490382,3804
23/02/2021,28001915,492623,3755
24/02/2021,28075173,495070,3685
25/02/2021,28150738,498208,3567
26/02/2021,28225595,500349,3466
27/02/2021,28296840,502196,3335
28/02/2021,28351189,503247,3245
01/03/2021,28399281,504488,3171
02/03/2021,28453529,506216,3169
03/03/2021,28520365,508665,3094
04/03/2021,28585852,510408,2973
05/03/2021,28654639,512629,2889
06/03/2021,28714654,514309,2811
07/03/2021,28756489,515151,2802
